Time [s],TX hub @ 115200,RX hub @ 115200
2.479121250,1,0
2.479138500,1,1
2.497961000,1,0
2.497969750,1,1
2.497978500,1,0
2.498013000,1,1
2.498021750,1,0
2.498030500,1,1
2.498368750,1,0
2.498446750,1,1
2.498455500,1,0
2.498464250,1,1
2.498481500,1,0
2.498499000,1,1
2.498507500,1,0
2.498516250,1,1
2.498525000,1,0
2.498533500,1,1
2.498542250,1,0
2.498585750,1,1
2.498594250,1,0
2.498603000,1,1
2.498611750,1,0
2.498620250,1,1
2.498629000,1,0
2.498637750,1,1
2.498646500,1,0
2.498655000,1,1
2.498663750,1,0
2.498689750,1,1
2.498698500,1,0
2.498707000,1,1
2.498715750,1,0
2.498724500,1,1
2.498733250,1,0
2.498741750,1,1
2.498750500,1,0
2.498776500,1,1
2.498785250,1,0
2.498793750,1,1
2.498802500,1,0
2.498828500,1,1
2.498837250,1,0
2.498863250,1,1
2.498872000,1,0
2.498880500,1,1
2.498889250,1,0
2.498967250,1,1
2.498976000,1,0
2.498984750,1,1
2.498993500,1,0
2.499028000,1,1
2.499036750,1,0
2.499054000,1,1
2.499062750,1,0
2.499140750,1,1
2.499149500,1,0
2.499227500,1,1
2.499236250,1,0
2.499314250,1,1
2.499323000,1,0
2.499331750,1,1
2.499340500,1,0
2.499349000,1,1
2.499357750,1,0
2.499401000,1,1
2.499409750,1,0
2.499435750,1,1
2.499444500,1,0
2.499487750,1,1
2.499496500,1,0
2.499574500,1,1
2.499583250,1,0
2.499661250,1,1
2.499670000,1,0
2.499748000,1,1
2.499756750,1,0
2.499834750,1,1
2.499843500,1,0
2.499852000,1,1
2.499860750,1,0
2.499878250,1,1
2.499904250,1,0
2.499921500,1,1
2.499930250,1,0
2.499938750,1,1
2.499947500,1,0
2.499965000,1,1
2.499982250,1,0
2.499999500,1,1
2.500017000,1,0
2.500025500,1,1
2.500034250,1,0
2.500095000,1,1
2.500103750,1,0
2.500181750,1,1
2.500190500,1,0
2.500268500,1,1
2.500277250,1,0
2.500311750,1,1
2.500320500,1,0
2.500337750,1,1
2.500364000,1,0
2.500381250,1,1
2.500390000,1,0
2.500424500,1,1
2.500450750,1,0
2.500528750,1,1
2.500537500,1,0
2.500615500,1,1
2.500624250,1,0
2.500658750,1,1
2.500667500,1,0
2.500685000,1,1
2.500711000,1,0
2.500728250,1,1
2.500737000,1,0
2.500771750,1,1
2.500780250,1,0
2.500789000,1,1
2.500797750,1,0
2.500806250,1,1
2.500832500,1,0
2.500849750,1,1
2.501960000,1,0
2.501968750,1,1
2.501977500,1,0
2.501994750,1,1
2.502012250,1,0
2.502029500,1,1
2.502046750,1,0
2.502064250,1,1
2.502073000,1,0
2.502125000,1,1
2.502133500,1,0
2.502211750,1,1
2.502220250,1,0
2.502298500,1,1
2.502307000,1,0
2.502341750,1,1
2.502350500,1,0
2.502367750,1,1
2.502394000,1,0
2.502411250,1,1
2.502420000,1,0
2.502454500,1,1
2.502480750,1,0
2.502558750,1,1
2.502567500,1,0
2.502645500,1,1
2.502654250,1,0
2.502688750,1,1
2.502697500,1,0
2.502714750,1,1
2.502741000,1,0
2.502758250,1,1
2.502767000,1,0
2.502801500,1,1
2.502810250,1,0
2.502819000,1,1
2.502827750,1,0
2.502853750,1,1
2.502862250,1,0
2.502879750,1,1
2.503998750,1,0
2.504007500,1,1
2.504016000,1,0
2.504033500,1,1
2.504050750,1,0
2.504068250,1,1
2.504085500,1,0
2.504094250,1,1
2.504111500,1,0
2.504163500,1,1
2.504172250,1,0
2.504250250,1,1
2.504259000,1,0
2.504337000,1,1
2.504345750,1,0
2.504380500,1,1
2.504389000,1,0
2.504406500,1,1
2.504432500,1,0
2.504449750,1,1
2.504458500,1,0
2.504493250,1,1
2.504519250,1,0
2.504597250,1,1
2.504606000,1,0
2.504684000,1,1
2.504692750,1,0
2.504727250,1,1
2.504736000,1,0
2.504753500,1,1
2.504779500,1,0
2.504796750,1,1
2.504805500,1,0
2.504840250,1,1
2.504848750,1,0
2.504857500,1,1
2.504866250,1,0
2.504874750,1,1
2.504883500,1,0
2.504892250,1,1
2.504900750,1,0
2.504918250,1,1
2.506046000,1,0
2.506054500,1,1
2.506063250,1,0
2.506089250,1,1
2.506098000,1,0
2.506115250,1,1
2.506132750,1,0
2.506158750,1,1
2.506167500,1,0
2.506210750,1,1
2.506219500,1,0
2.506262750,1,1
2.506271500,1,0
2.506280250,1,1
2.506288750,1,0
2.506297500,1,1
2.506306250,1,0
2.506314750,1,1
2.506332250,1,0
2.506367000,1,1
2.506375500,1,0
2.506384250,1,1
2.506393000,1,0
2.506419000,1,1
2.506427500,1,0
2.506436250,1,1
2.506445000,1,0
2.506453750,1,1
2.506462250,1,0
2.506471000,1,1
2.506479750,1,0
2.506557750,1,1
2.506566500,1,0
2.506575000,1,1
2.506583750,1,0
2.506592500,1,1
2.506609750,1,0
2.506618500,1,1
2.506627000,1,0
2.506644500,1,1
2.508414000,1,0
2.508422500,1,1
2.508431250,1,0
2.508448750,1,1
2.508457250,1,0
2.508483250,1,1
2.508500750,1,0
2.508509250,1,1
2.508518000,1,0
2.508526750,1,1
2.508535500,1,0
2.508578750,1,1
2.508587500,1,0
2.508630750,1,1
2.508648250,1,0
2.508665500,1,1
2.508674250,1,0
2.508717500,1,1
2.508743500,1,0
2.508752250,1,1
2.508761000,1,0
2.508769500,1,1
2.508787000,1,0
2.508804250,1,1
2.508821750,1,0
2.508839000,1,1
2.510452250,1,0
2.510461000,1,1
2.510469500,1,0
2.510495500,1,1
2.510504250,1,0
2.510521750,1,1
2.510539000,1,0
2.510608500,1,1
2.510625750,1,0
2.510634500,1,1
2.510643000,1,0
2.510703750,1,1
2.510712500,1,0
2.510790500,1,1
2.510799250,1,0
2.510825250,1,1
2.510834000,1,0
2.510877250,1,1
2.510886000,1,0
2.510964000,1,1
2.510972750,1,0
2.510981500,1,1
2.510998750,1,0
2.511007500,1,1
2.511016000,1,0
2.511024750,1,1
2.529829000,1,0
2.529881000,1,1
2.529889750,1,0
2.529898500,1,1
2.529915750,1,0
2.529993750,1,1
2.530002500,1,0
2.530045750,1,1
2.530054500,1,0
2.530063250,1,1
2.530072000,1,0
2.530080500,1,1
2.530089250,1,0
2.530098000,1,1
2.530132500,1,0
2.530150000,1,1
2.530158750,1,0
2.530167250,1,1
2.530176000,1,0
2.530184500,1,1
2.530210750,1,0
2.530219250,1,1
2.530228000,1,0
2.530236750,1,1
2.530245250,1,0
2.530254000,1,1
2.530262750,1,0
2.530271250,1,1
2.530280000,1,0
2.530288750,1,1
2.530297500,1,0
2.530323500,1,1
2.530332000,1,0
2.530340750,1,1
2.530349500,1,0
2.530366750,1,1
2.530375500,1,0
2.530392750,1,1
2.530401500,1,0
2.530410250,1,1
2.530418750,1,0
2.530427500,1,1
2.530436250,1,0
2.530514250,1,1
2.530523000,1,0
2.530566250,1,1
2.530583750,1,0
2.530601000,1,1
2.530609750,1,0
2.530687750,1,1
2.530696500,1,0
2.530774500,1,1
2.530783250,1,0
2.530861250,1,1
2.530869750,1,0
2.530878500,1,1
2.530887250,1,0
2.530895750,1,1
2.530904500,1,0
2.530948000,1,1
2.530956500,1,0
2.530982500,1,1
2.530991250,1,0
2.531034750,1,1
2.531043250,1,0
2.531121500,1,1
2.531130000,1,0
2.531208250,1,1
2.531216750,1,0
2.531295000,1,1
2.531303500,1,0
2.531381500,1,1
2.531390250,1,0
2.531399000,1,1
2.531407750,1,0
2.531433750,1,1
2.531451000,1,0
2.531468250,1,1
2.531780750,1,0
2.531815250,1,1
2.531832750,1,0
2.531850000,1,1
2.531867500,1,0
2.531876000,1,1
2.531884750,1,0
2.531945500,1,1
2.531954250,1,0
2.532032250,1,1
2.532041000,1,0
2.532119000,1,1
2.532127750,1,0
2.532162250,1,1
2.532171000,1,0
2.532188250,1,1
2.532214500,1,0
2.532231750,1,1
2.532240500,1,0
2.532275000,1,1
2.532301000,1,0
2.532379250,1,1
2.532387750,1,0
2.532466000,1,1
2.532474500,1,0
2.532509250,1,1
2.532518000,1,0
2.532535250,1,1
2.532561500,1,0
2.532578750,1,1
2.532587500,1,0
2.532622000,1,1
2.532630750,1,0
2.532639500,1,1
2.532648250,1,0
2.532665500,1,1
2.532682750,1,0
2.532700250,1,1
2.533827750,1,0
2.533862250,1,1
2.533879750,1,0
2.533897000,1,1
2.533914500,1,0
2.533931750,1,1
2.533940500,1,0
2.533992500,1,1
2.534001250,1,0
2.534079250,1,1
2.534087750,1,0
2.534166000,1,1
2.534174500,1,0
2.534209250,1,1
2.534218000,1,0
2.534235250,1,1
2.534261250,1,0
2.534278750,1,1
2.534287250,1,0
2.534322000,1,1
2.534348000,1,0
2.534426000,1,1
2.534434750,1,0
2.534512750,1,1
2.534521500,1,0
2.534556250,1,1
2.534565000,1,0
2.534582250,1,1
2.534608250,1,0
2.534625500,1,1
2.534634250,1,0
2.534669000,1,1
2.534677750,1,0
2.534686250,1,1
2.534695000,1,0
